timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1584217733863,4075,Auth,200,OK,Main thread Group 1-115,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4075,0,79
1584217733904,4040,Auth,200,OK,Main thread Group 1-122,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4040,0,79
1584217733875,4120,Auth,200,OK,Main thread Group 1-117,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4120,0,90
1584217733899,4112,Auth,200,OK,Main thread Group 1-121,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4112,0,79
1584217733928,4127,Auth,200,OK,Main thread Group 1-126,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4127,0,68
1584217733851,4209,Auth,200,OK,Main thread Group 1-113,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4209,0,79
1584217733869,4205,Auth,200,OK,Main thread Group 1-116,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4205,0,92
1584217733922,4156,Auth,200,OK,Main thread Group 1-125,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4156,0,83
1584217733887,4196,Auth,200,OK,Main thread Group 1-119,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4196,0,81
1584217733917,4179,Auth,200,OK,Main thread Group 1-124,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4179,0,80
1584217733856,4250,Auth,200,OK,Main thread Group 1-114,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4250,0,88
1584217733880,4441,Register player,201,Created,Main thread Group 1-5,text,true,,1228,1102,156,156,http://test-api.d6.dev.devcaz.com/v2/players,4441,0,0
1584217733946,4490,Auth,200,OK,Main thread Group 1-129,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4490,0,77
1584217733911,4643,Auth,200,OK,Main thread Group 1-123,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4643,0,94
1584217733935,4619,Auth,200,OK,Main thread Group 1-127,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4619,0,82
1584217733978,4588,Auth,200,OK,Main thread Group 1-134,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4588,0,67
1584217733953,4708,Auth,200,OK,Main thread Group 1-130,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4708,0,82
1584217733989,4677,Auth,200,OK,Main thread Group 1-136,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4677,0,80
1584217733941,4801,Auth,200,OK,Main thread Group 1-128,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4801,0,90
1584217734037,4763,Auth,200,OK,Main thread Group 1-144,text,true,,939,335,156,156,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,4763,0,73
